accuracy,loss,t-loss
0.59375,1.86018,0.06097
0.64844,1.72339,0.39627
0.64844,1.59183,0.15844
0.68750,2.82751,0.20830
0.64062,2.11140,0.12784
0.61719,2.04227,0.09402
0.67969,2.12864,0.19823
0.73438,1.80740,0.10812
0.71094,1.22688,0.07348
0.71094,1.94720,0.24128
0.68750,2.22933,0.20397
0.71875,1.48899,0.02119
0.71875,1.60956,0.13767
0.72656,1.87384,0.06550
0.64844,2.07786,0.31654
0.62500,2.06392,0.37977
0.67188,1.81762,0.19635
0.73438,1.81166,0.21302
0.74219,1.32806,0.13360
0.67188,1.95578,0.31537
0.70312,2.15763,0.23836
0.70312,2.09680,0.11913
0.65625,2.66077,0.11334
0.81250,1.15712,0.17795
0.65625,2.33221,0.11896
0.69531,2.13338,0.35431
0.70312,1.88860,0.15273
0.67969,3.29027,0.16303
0.67188,1.69845,0.13313
0.67188,1.86195,0.40585
0.78906,1.59246,0.01467
0.72656,1.53643,0.05411
0.65625,2.03036,0.15642
0.73438,2.25338,0.45626
0.69531,1.45000,0.11545
0.68750,2.09437,0.13376
0.65625,2.50736,0.26245
0.75781,1.17787,0.30263
0.67969,2.35844,0.24784
0.75000,1.59426,0.12801
0.67188,1.70260,0.20568
0.60156,2.48393,0.12577
0.67188,1.86320,0.02450
0.71875,2.01066,0.23538
0.65625,2.49107,0.02781
0.68750,1.62861,0.01005
0.75781,2.40167,0.03867
0.63281,2.25592,0.11360
0.67969,1.77613,0.26169
0.67969,1.74664,0.30299
0.61719,2.35268,0.32660
0.66406,2.43687,0.21055
0.68750,2.53748,0.16113
0.70312,1.90955,0.13243
0.71094,2.39262,0.12796
0.75781,1.33435,0.07727
0.71875,1.44114,0.04105
0.62500,1.96363,0.08807
0.74219,1.67213,0.12739
0.66406,2.17612,0.21897
0.66406,2.64597,0.03891
0.71094,1.82347,0.07907
0.67188,2.06470,0.02383
0.65625,2.09104,0.10526
0.67969,2.28837,0.65645
0.72656,1.94440,0.09713
0.71875,1.86188,0.03563
0.75781,1.42332,0.09947
0.67188,2.05253,0.02822
0.62500,2.24725,0.19104
0.75781,1.41070,0.24794
0.67188,2.03700,0.34012
0.75000,1.56326,0.27342
0.71875,1.72694,0.06496
0.69531,1.72303,0.01816
0.65625,1.86236,0.13706
0.66406,2.63042,0.15384
0.73438,1.68706,0.06226
0.70312,1.24550,0.10439
0.64844,1.74937,0.21036
0.75000,1.49700,0.01032
0.60938,2.34315,0.36258
0.61719,2.63216,0.12665
0.63281,2.41832,0.61092
0.72656,1.80538,0.06729
0.71875,1.59852,0.10981
0.73438,2.58341,0.05615
0.70312,2.19740,0.51489
0.64844,1.99575,0.06581
0.63281,2.14697,0.12059
0.69531,1.77474,0.21212
0.64844,2.71737,0.11792
0.74219,1.88384,0.25555
0.69531,2.18292,0.16328
0.66406,2.85602,0.13140
0.74219,2.68223,0.08905
0.64844,3.44927,0.11231
0.74219,1.52749,0.09533
0.65625,2.18835,0.20721
0.67969,1.98704,0.02861
0.73438,2.05814,0.08010
0.62500,2.62464,0.24294
0.64844,2.44475,0.15097
0.77344,1.80833,0.10774
0.65625,2.37889,0.12456
0.67188,2.73562,0.04176
0.64844,2.39278,0.09486
0.68750,1.53260,0.13378
0.64062,3.22234,0.17005
0.63281,2.15597,0.13638
0.68750,2.16923,0.19723
0.64844,2.09506,0.14552
0.68750,2.49668,0.11658
0.60938,2.16118,0.05996
0.68750,2.55269,0.12034
0.73438,1.84973,0.04277
0.71875,1.53872,0.30795
0.72656,2.18598,0.12540
0.68750,2.24163,0.28825
0.60938,3.41217,0.29208
0.71094,2.22853,0.02472
0.68750,2.65949,0.21987
0.67969,1.89517,0.02826
0.67188,2.40311,0.11420
0.53906,2.71553,0.08577
0.73438,2.74202,0.37197
0.65625,2.09190,0.52742
0.71875,1.80399,0.33612
0.68750,2.00381,0.06486
